,mostRelevantField,mostRelevantUni
1379,CS,MIT
1380,CS,MIT
1381,CS,MIT
1382,CS,MIT
1383,CS,MIT
1384,CS,MIT
1385,CS,MIT
1386,CS,MIT
1387,CS,MIT
1388,CS,MIT
1389,CS,MIT
1390,CS,MIT
1391,CS,MIT
1392,CS,MIT
1393,CS,MIT
1394,CS,MIT
1395,CS,MIT
1396,CS,MIT
1397,CS,MIT
1398,CS,MIT
1399,Biology,MIT
1400,Biology,MIT
1401,Biology,MIT
1402,CS,MIT
1403,CS,MIT
1404,CS,MIT
1405,Data Science,MIT
1406,Data Science,MIT
1407,Data Science,MIT
1408,Data Science,MIT
1409,Data Science,MIT
1410,CS,MIT
1411,AI,MIT
1412,CS,MIT
1413,CS,MIT
1414,CS,MIT
1415,AI,MIT
1416,CS,MIT
1417,Other,MIT
1418,Other,MIT
1419,Mechanical Eng,MIT
1420,Data Science,MIT
1421,Data Science,MIT
1422,Data Science,MIT
1423,Data Science,MIT
1424,Data Science,MIT
1425,CS,MIT
1426,Other,MIT
1427,Business,MIT
1428,CS,MIT
1429,Other,MIT
1430,Other,MIT
1431,Other,MIT
1432,Finance,MIT
1433,Finance,MIT
1434,Finance,MIT
1435,Finance,MIT
1436,Finance,MIT
1437,Finance,MIT
1438,Finance,MIT
1439,Finance,MIT
1440,Business,MIT
1441,Data Science,MIT
1442,Business,MIT
1443,Other,MIT
1444,Other,MIT
1445,Other,MIT
1446,Other,MIT
1447,Other,MIT
1448,Other,MIT
1449,Other,MIT
1450,Physics,MIT
1451,Business,MIT
1452,Physics,MIT
1453,Electrical Eng,MIT
1454,Electrical Eng,MIT
1455,Electrical Eng,MIT
1456,Electrical Eng,MIT
1457,Electrical Eng,MIT
1458,Electrical Eng,MIT
1459,Electrical Eng,MIT
1460,Electrical Eng,MIT
1461,CS,MIT
1462,CS,MIT
1463,CS,MIT
1464,CS,MIT
1465,CS,MIT
1466,CS,MIT
1467,CS,MIT
1468,CS,MIT
1469,CS,MIT
1470,CS,MIT
1471,CS,MIT
1472,CS,MIT
1473,CS,MIT
1474,CS,MIT
1475,CS,MIT
1476,CS,MIT
1477,CS,MIT
1478,CS,MIT
1479,CS,MIT
1480,CS,MIT
1481,CS,MIT
1482,CS,MIT
1483,CS,MIT
1484,CS,MIT
1485,CS,MIT
1486,CS,MIT
1487,CS,MIT
1488,Biology,MIT
1489,Electrical Eng,MIT
1490,Electrical Eng,MIT
1491,Electrical Eng,MIT
1492,Business,MIT
1493,Business,MIT
1494,Business,MIT
1495,Other,MIT
1496,Other,MIT
1497,Business,MIT
1498,Business,MIT
1499,Business,MIT
1500,Business,MIT
1501,Business,MIT
1502,Other,MIT
1503,Other,MIT
1504,Other,MIT
1505,Other,MIT
1506,Other,MIT
1507,Other,MIT
1508,Other,MIT
1509,Business,MIT
1510,Business,MIT
1511,Business,MIT
1512,Physics,MIT
1513,Business,MIT
1514,Finance,MIT
1515,Finance,MIT
1516,Finance,MIT
1517,Finance,MIT
1518,Finance,MIT
1519,Finance,MIT
1520,Finance,MIT
1521,Finance,MIT
1522,CS,MIT
1523,Finance,MIT
1524,Business,MIT
1525,Data Science,MIT
1526,Finance,MIT
1527,Other,MIT
1528,Other,MIT
1529,Biology,MIT
1530,Physics,MIT
1531,Business,MIT
1532,Business,MIT
1533,Biology,MIT
1534,CS,MIT
1535,Other,MIT
1536,Other,MIT
1537,Industrial Eng,MIT
1538,Other,MIT
1539,Other,MIT
1540,Other,MIT
1541,Business,MIT
1542,Business,MIT
1543,Business,MIT
1544,Business,MIT
1545,Business,MIT
1546,Business,MIT
1547,Other,MIT
1548,Business,MIT
1549,Business,MIT
1550,Other,MIT
1551,Other,MIT
1552,Business,MIT
1553,Other,MIT
1554,Physics,MIT
1555,Business,MIT
1556,Marketing,MIT
1557,Data Science,MIT
1558,Marketing,MIT
1559,Other,MIT
1560,Other,MIT
1561,CS,MIT
1562,Business,MIT
1563,Data Science,MIT
1564,Data Science,MIT
1565,Data Science,MIT
1566,AI,MIT
1567,Other,MIT
1568,Other,MIT
1569,Finance,MIT
1570,Finance,MIT
1571,Biology,MIT
1572,Other,MIT
1573,Data Science,MIT
1574,Finance,MIT
1575,Other,MIT
1576,Business,MIT
1577,Materials,MIT
1578,Materials,MIT
1579,Materials,MIT
1580,Materials,MIT
1581,Materials,MIT
1582,Materials,MIT
1583,Materials,MIT
1584,Materials,MIT
1585,Materials,MIT
1586,Materials,MIT
1587,Materials,MIT
1588,Materials,MIT
1589,Materials,MIT
1590,Materials,MIT
1591,CS,MIT
1592,Finance,MIT
1593,Other,MIT
1594,Other,MIT
1595,Other,MIT
1596,Other,MIT
1597,Other,MIT
1598,Other,MIT
1599,Other,MIT
1600,Other,MIT
1601,Other,MIT
1602,Other,MIT
1603,Other,MIT
1604,Other,MIT
1605,Other,MIT
1606,CS,MIT
1607,CS,MIT
1608,CS,MIT
1609,CS,MIT
1610,CS,MIT
1611,CS,MIT
1612,CS,MIT
1613,Finance,MIT
1614,Physics,MIT
1615,Business,MIT
1616,Business,MIT
1617,Business,MIT
1618,Business,MIT
1619,Business,MIT
1620,Business,MIT
1621,Business,MIT
1622,Business,MIT
1623,Business,MIT
1624,Business,MIT
1625,Business,MIT
1626,Business,MIT
1627,Business,MIT
1628,Business,MIT
1629,Business,MIT
1630,Business,MIT
1631,Business,MIT
1632,Business,MIT
1633,Business,MIT
1634,Business,MIT
1635,Business,MIT
1636,Business,MIT
1637,Business,MIT
1638,Business,MIT
1639,Business,MIT
1640,Business,MIT
1641,Business,MIT
1642,Business,MIT
1643,Business,MIT
1644,Business,MIT
1645,Business,MIT
1646,Mechanical Eng,MIT
1647,Business,MIT
1648,Electrical Eng,MIT
1649,Business,MIT
1650,Business,MIT
1651,Business,MIT
1652,Mechanical Eng,MIT
1653,Mechanical Eng,MIT
1654,Mechanical Eng,MIT
1655,Mechanical Eng,MIT
1656,Mechanical Eng,MIT
1657,Mechanical Eng,MIT
1658,Mechanical Eng,MIT
1659,Mechanical Eng,MIT
1660,Mechanical Eng,MIT
1661,Mechanical Eng,MIT
1662,Mechanical Eng,MIT
1663,Mechanical Eng,MIT
1664,Mechanical Eng,MIT
1665,Mechanical Eng,MIT
1666,Mechanical Eng,MIT
1667,Mechanical Eng,MIT
1668,Mechanical Eng,MIT
1669,Mechanical Eng,MIT
1670,Mechanical Eng,MIT
1671,Mechanical Eng,MIT
1672,Mechanical Eng,MIT
1673,Mechanical Eng,MIT
1674,Mechanical Eng,MIT
1675,Mechanical Eng,MIT
1676,Mechanical Eng,MIT
1677,Mechanical Eng,MIT
1678,Mechanical Eng,MIT
1679,Mechanical Eng,MIT
1680,Mechanical Eng,MIT
1681,Mechanical Eng,MIT
1682,Mechanical Eng,MIT
1683,Mechanical Eng,MIT
1684,Mechanical Eng,MIT
1685,Mechanical Eng,MIT
1686,Mechanical Eng,MIT
1687,Mechanical Eng,MIT
1688,Mechanical Eng,MIT
1689,Mechanical Eng,MIT
1690,Mechanical Eng,MIT
1691,Mechanical Eng,MIT
1692,Mechanical Eng,MIT
1693,Mechanical Eng,MIT
1694,Mechanical Eng,MIT
1695,Mechanical Eng,MIT
1696,Mechanical Eng,MIT
1697,Mechanical Eng,MIT
1698,Mechanical Eng,MIT
1699,Mechanical Eng,MIT
1700,Mechanical Eng,MIT
1701,Mechanical Eng,MIT
1702,Mechanical Eng,MIT
1703,Mechanical Eng,MIT
1704,Mechanical Eng,MIT
1705,Mechanical Eng,MIT
1706,Mechanical Eng,MIT
1707,Mechanical Eng,MIT
1708,Mechanical Eng,MIT
1709,Mechanical Eng,MIT
1710,Mechanical Eng,MIT
1711,Mechanical Eng,MIT
1712,Mechanical Eng,MIT
1713,Mechanical Eng,MIT
1714,Mechanical Eng,MIT
1715,Materials,MIT
1716,CS,MIT
1717,Mechanical Eng,MIT
1718,Mechanical Eng,MIT
1719,CS,MIT
1720,CS,MIT
1721,CS,MIT
1722,CS,MIT
1723,CS,MIT
1724,Mechanical Eng,MIT
1725,Mechanical Eng,MIT
1726,CS,MIT
1727,CS,MIT
1728,CS,MIT
1729,Mechanical Eng,MIT
1730,Mechanical Eng,MIT
1731,Mechanical Eng,MIT
1732,Biology,MIT
1733,Mechanical Eng,MIT
1734,Mechanical Eng,MIT
1735,Electrical Eng,MIT
1736,Mechanical Eng,MIT
1737,CS,MIT
1738,Mechanical Eng,MIT
1739,Other,MIT
1740,Other,MIT
1741,Other,MIT
1742,Other,MIT
1743,Other,MIT
1744,Other,MIT
1745,Other,MIT
1746,Other,MIT
1747,AI,MIT
1748,Physics,MIT
1749,Biology,MIT
1750,Other,MIT
1751,Biology,MIT
1752,Data Science,MIT
1753,Other,MIT
1754,Business,MIT
1755,Biology,MIT
1756,Business,MIT
1757,Business,MIT
1758,Business,MIT
1759,Other,MIT
1760,Other,MIT
1761,Other,MIT
1762,Biology,MIT
1763,Other,MIT
1764,Other,MIT
1765,Other,MIT
1766,Other,MIT
1767,Physics,MIT
1768,Other,MIT
1769,Other,MIT
1770,Other,MIT
1771,Other,MIT
1772,Policital Sci,MIT
1773,Other,MIT
1774,Other,MIT
1775,Other,MIT
1776,Other,MIT
1777,Other,MIT
1778,Other,MIT
1779,Other,MIT
1780,Physics,MIT
1781,Physics,MIT
1782,Physics,MIT
1783,Physics,MIT
1784,Physics,MIT
1785,Physics,MIT
1786,Physics,MIT
1787,Physics,MIT
1788,Physics,MIT
1789,Physics,MIT
1790,Physics,MIT
1791,Physics,MIT
1792,Physics,MIT
1793,Physics,MIT
1794,Physics,MIT
1795,Physics,MIT
1796,Physics,MIT
1797,Physics,MIT
1798,Physics,MIT
1799,Physics,MIT
1800,Physics,MIT
1801,Physics,MIT
1802,Physics,MIT
1803,Physics,MIT
1804,CS,MIT
1805,Physics,MIT
1806,Physics,MIT
1807,Physics,MIT
1808,Physics,MIT
1809,CS,MIT
1810,Other,MIT
1811,AI,MIT
1812,Policital Sci,MIT
1813,Policital Sci,MIT
1814,Business,MIT
1815,Other,MIT
1816,Other,MIT
1817,Other,MIT
1818,Other,MIT
1819,Other,MIT
1820,Other,MIT
1821,Other,MIT
1822,Other,MIT
1823,Other,MIT
1824,Other,MIT
1825,Other,MIT
1826,Other,MIT
1827,Business,MIT
1828,Business,MIT
1829,Business,MIT
1830,Business,MIT
1831,Other,MIT
1832,Other,MIT
1833,Data Science,MIT
1834,CS,MIT
1835,Other,MIT
1836,Data Science,MIT
1837,Marketing,MIT
1838,Other,MIT
1839,Industrial Eng,MIT
1840,Industrial Eng,MIT
1841,Business,MIT
1842,Business,MIT
1843,Business,MIT
1844,Business,MIT
1845,Business,MIT
1846,Business,MIT
1847,Business,MIT
1848,Business,MIT
1849,Business,MIT
1850,Business,MIT
1851,Business,MIT
1852,Business,MIT
1853,Business,MIT
1854,Business,MIT
1855,Business,MIT
1856,Business,MIT
1857,Business,MIT
1858,Business,MIT
1859,Business,MIT
1860,Data Science,MIT
1861,Business,MIT
1862,Biology,MIT
1863,Business,MIT
1864,Business,MIT
1865,Business,MIT
1866,Business,MIT
1867,Business,MIT
1868,Business,MIT
1869,Business,MIT
1870,Business,MIT
1871,Business,MIT
1872,Other,MIT
1873,Other,MIT
1874,Other,MIT
1875,Finance,MIT
1876,Other,MIT
1877,Other,MIT
1878,Other,MIT
1879,Other,MIT
1880,Other,MIT
1881,Other,MIT
1882,Other,MIT
1883,Other,MIT
1884,Other,MIT
1885,CS,MIT
1886,Other,MIT
1887,CS,MIT
1888,Other,MIT
1889,CS,MIT
1890,Other,MIT
1891,Other,MIT
1892,Other,MIT
1893,Other,MIT
1894,Other,MIT
1895,Other,MIT
1896,Other,MIT
1897,Other,MIT
1898,Civil Eng,MIT
1899,Business,MIT
1900,AI,MIT
1901,Biology,MIT
1902,Biology,MIT
1903,Electrical Eng,MIT
1904,Business,MIT
1905,Business,MIT
1906,Finance,MIT
1907,Business,MIT
1908,Business,MIT
1909,Business,MIT
1910,Business,MIT
1911,Business,MIT
1912,Business,MIT
1913,CS,MIT
1914,Biology,MIT
1915,Business,MIT
1916,Other,MIT
1917,Other,MIT
1918,CS,MIT
1919,CS,MIT
1920,Other,MIT
1921,CS,MIT
1922,Data Science,MIT
1923,Civil Eng,Other
1924,Business,Other
1925,Mechanical Eng,Other
1926,Business,Other
1927,Other,Other
1928,CS,Other
1929,Finance,Other
1930,Finance,Other
1931,Other,Other
1932,Other,Other
1933,Other,Other
1934,Other,Other
1935,Other,Other
1936,Other,Other
1937,Business,Other
1938,CS,Other
1939,Electrical Eng,Other
1940,Aero,Other
1941,CS,Other
1942,Aero,Other
1943,Electrical Eng,Other
1944,Biology,Other
1945,Policital Sci,Other
1946,Other,Other
1947,Business,Other
1948,Other,Other
1949,Biology,Other
1950,Physics,Other
1951,Aero,Other
1952,Finance,Other
1953,Other,Other
1954,Other,NYU
1955,Policital Sci,NYU
1956,Business,NYU
1957,Data Science,NYU
1958,Business,NYU
1959,Business,NYU
1960,Biology,NYU
1961,Chemistry,NYU
1962,Other,NYU
1963,Civil Eng,NYU
1964,CS,NYU
1965,CS,NYU
1966,CS,NYU
1967,CS,NYU
1968,CS,NYU
1969,CS,NYU
1970,CS,NYU
1971,CS,NYU
1972,CS,NYU
1973,CS,NYU
1974,CS,NYU
1975,CS,NYU
1976,CS,NYU
1977,CS,NYU
1978,Other,NYU
1979,Data Science,NYU
1980,Data Science,NYU
1981,Data Science,NYU
1982,Data Science,NYU
1983,Other,NYU
1984,Finance,NYU
1985,Finance,NYU
1986,Finance,NYU
1987,Business,NYU
1988,Electrical Eng,NYU
1989,Electrical Eng,NYU
1990,CS,NYU
1991,Business,NYU
1992,Other,NYU
1993,Business,NYU
1994,Other,NYU
1995,Other,NYU
1996,Other,NYU
1997,Other,NYU
1998,Business,NYU
1999,Other,NYU
2000,Industrial Eng,NYU
2001,Industrial Eng,NYU
2002,CS,NYU
2003,Other,NYU
2004,Marketing,NYU
2005,Marketing,NYU
2006,Marketing,NYU
2007,Other,NYU
2008,Other,NYU
2009,Other,NYU
2010,Other,NYU
2011,Other,NYU
2012,Law,NYU
2013,Business,NYU
2014,Business,NYU
2015,Business,NYU
2016,Finance,NYU
2017,Business,NYU
2018,Other,NYU
2019,Other,NYU
2020,Mechanical Eng,NYU
2021,Mechanical Eng,NYU
2022,Mechanical Eng,NYU
2023,Other,NYU
2024,Business,NYU
2025,Other,NYU
2026,Policital Sci,NYU
2027,Policital Sci,NYU
2028,Policital Sci,NYU
2029,Other,NYU
2030,Other,NYU
2031,Other,NYU
2032,Other,NYU
2033,Finance,NYU
2034,Finance,NYU
2035,Other,NYU
2036,Other,NYU
2037,Finance,NYU
2038,Other,NYU
2039,Other,NYU
2040,Other,NYU
2041,Other,NYU
2042,Other,NYU
2043,Other,NYU
2044,Other,NYU
2045,Other,NYU
2046,Other,NYU
2047,Other,NYU
2048,CS,NYU
2049,Finance,NYU
2050,Finance,NYU
2051,Other,NYU
2052,Mechanical Eng,NYU
2053,CS,NYU
2054,CS,NYU
2055,Finance,NYU
2056,Business,NYU
2057,Business,Other
2058,AI,Other
2059,Business,Other
2060,Biology,Other
2061,Other,Other
2062,AI,Other
2063,Other,Other
2064,Mechanical Eng,Other
2065,AI,Other
2066,Finance,Northeastern
2067,Other,Northeastern
2068,Other,Northeastern
2069,Other,Northeastern
2070,Finance,Northeastern
2071,Mechanical Eng,Northeastern
2072,Other,Northeastern
2073,Business,Northeastern
2074,Finance,Northeastern
2075,Data Science,Northeastern
2076,Data Science,Northeastern
2077,Data Science,Northeastern
2078,AI,Northeastern
2079,Other,Northeastern
2080,Other,Northeastern
2081,Biology,Northeastern
2082,Biology,Northeastern
2083,Biology,Northeastern
2084,Biology,Northeastern
2085,Biology,Northeastern
2086,Business,Northeastern
2087,Business,Northeastern
2088,Business,Northeastern
2089,Business,Northeastern
2090,Chemistry,Northeastern
2091,Chemistry,Northeastern
2092,Civil Eng,Northeastern
2093,Civil Eng,Northeastern
2094,CS,Northeastern
2095,CS,Northeastern
2096,CS,Northeastern
2097,CS,Northeastern
2098,CS,Northeastern
2099,CS,Northeastern
2100,CS,Northeastern
2101,CS,Northeastern
2102,CS,Northeastern
2103,CS,Northeastern
2104,CS,Northeastern
2105,CS,Northeastern
2106,Other,Northeastern
2107,Data Science,Northeastern
2108,Data Science,Northeastern
2109,Data Science,Northeastern
2110,Data Science,Northeastern
2111,AI,Northeastern
2112,Data Science,Northeastern
2113,Data Science,Northeastern
2114,Data Science,Northeastern
2115,Business,Northeastern
2116,AI,Northeastern
2117,Electrical Eng,Northeastern
2118,Other,Northeastern
2119,Other,Northeastern
2120,Other,Northeastern
2121,Other,Northeastern
2122,Other,Northeastern
2123,Business,Northeastern
2124,Business,Northeastern
2125,Business,Northeastern
2126,Other,Northeastern
2127,Other,Northeastern
2128,Finance,Northeastern
2129,Other,Northeastern
2130,Other,Northeastern
2131,Other,Northeastern
2132,Industrial Eng,Northeastern
2133,Industrial Eng,Northeastern
2134,Industrial Eng,Northeastern
2135,Other,Northeastern
2136,Other,Northeastern
2137,Other,Northeastern
2138,Other,Northeastern
2139,Business,Northeastern
2140,Business,Northeastern
2141,Business,Northeastern
2142,Other,Northeastern
2143,Business,Northeastern
2144,Mechanical Eng,Northeastern
2145,Mechanical Eng,Northeastern
2146,Materials,Northeastern
2147,Finance,Northeastern
2148,Other,Northeastern
2149,Biology,Northeastern
2150,Policital Sci,Northeastern
2151,Business,Northeastern
2152,Business,Northeastern
2153,Business,Northeastern
2154,Business,Northeastern
2155,Other,Northeastern
2156,Other,Northeastern
2157,CS,Northeastern
2158,Other,Other
2159,Policital Sci,Other
2160,Other,Other
2161,Biology,Other
2162,Biology,Other
2163,Chemistry,Other
2164,CS,Other
2165,CS,Other
2166,CS,Other
2167,Finance,Other
2168,Physics,Other
2169,Materials,Other
2170,Mechanical Eng,Other
2171,Mechanical Eng,Other
2172,Other,Other
2173,Policital Sci,Other
2174,Other,Other
2175,Other,Other
2176,Data Science,NYU
2177,Other,NYU
2178,Data Science,NYU
2179,Finance,NYU
2180,Other,NYU
2181,Other,NYU
2182,Other,NYU
2183,Biology,NYU
2184,Biology,NYU
2185,Biology,NYU
2186,Biology,NYU
2187,Biology,NYU
2188,Biology,NYU
2189,Electrical Eng,NYU
2190,Business,NYU
2191,Business,NYU
2192,Business,NYU
2193,Business,NYU
2194,Business,NYU
2195,Business,NYU
2196,Data Science,NYU
2197,Biology,NYU
2198,Civil Eng,NYU
2199,Civil Eng,NYU
2200,Other,NYU
2201,Other,NYU
2202,CS,NYU
2203,CS,NYU
2204,CS,NYU
2205,CS,NYU
2206,CS,NYU
2207,CS,NYU
2208,CS,NYU
2209,CS,NYU
2210,CS,NYU
2211,CS,NYU
2212,CS,NYU
2213,CS,NYU
2214,CS,NYU
2215,CS,NYU
2216,CS,NYU
2217,CS,NYU
2218,CS,NYU
2219,CS,NYU
2220,CS,NYU
2221,CS,NYU
2222,CS,NYU
2223,CS,NYU
2224,CS,NYU
2225,CS,NYU
2226,CS,NYU
2227,CS,NYU
2228,Other,NYU
2229,Other,NYU
2230,Data Science,NYU
2231,Data Science,NYU
2232,Data Science,NYU
2233,Data Science,NYU
2234,Data Science,NYU
2235,Data Science,NYU
2236,Data Science,NYU
2237,Business,NYU
2238,Other,NYU
2239,Finance,NYU
2240,Finance,NYU
2241,Finance,NYU
2242,Finance,NYU
2243,Finance,NYU
2244,Business,NYU
2245,Business,NYU
2246,Finance,NYU
2247,Finance,NYU
2248,Finance,NYU
2249,Finance,NYU
2250,Finance,NYU
2251,Data Science,NYU
2252,CS,NYU
2253,Data Science,NYU
2254,Finance,NYU
2255,Finance,NYU
2256,Other,NYU
2257,Other,NYU
2258,CS,NYU
2259,Electrical Eng,NYU
2260,Electrical Eng,NYU
2261,Electrical Eng,NYU
2262,Electrical Eng,NYU
2263,Electrical Eng,NYU
2264,Other,NYU
2265,Other,NYU
2266,Other,NYU
2267,Other,NYU
2268,Other,NYU
2269,Other,NYU
2270,Finance,NYU
2271,Data Science,NYU
2272,Other,NYU
2273,Other,NYU
2274,Other,NYU
2275,Finance,NYU
2276,Other,NYU
2277,Other,NYU
2278,Other,NYU
2279,Other,NYU
2280,Other,NYU
2281,Other,NYU
2282,Other,NYU
2283,Other,NYU
2284,Other,NYU
2285,Other,NYU
2286,Other,NYU
2287,Other,NYU
2288,Other,NYU
2289,Other,NYU
2290,Other,NYU
2291,Other,NYU
2292,Other,NYU
2293,Industrial Eng,NYU
2294,Industrial Eng,NYU
2295,Other,NYU
2296,Other,NYU
2297,Marketing,NYU
2298,Other,NYU
2299,Other,NYU
2300,Other,NYU
2301,Marketing,NYU
2302,Other,NYU
2303,Other,NYU
2304,Other,NYU
2305,Business,NYU
2306,Other,NYU
2307,Other,NYU
2308,Other,NYU
2309,Other,NYU
2310,Other,NYU
2311,Other,NYU
2312,Other,NYU
2313,Other,NYU
2314,Other,NYU
2315,Other,NYU
2316,Other,NYU
2317,Finance,NYU
2318,Other,NYU
2319,Other,NYU
2320,Other,NYU
2321,Other,NYU
2322,Law,NYU
2323,Law,NYU
2324,Law,NYU
2325,Other,NYU
2326,Other,NYU
2327,Business,NYU
2328,Business,NYU
2329,Business,NYU
2330,Business,NYU
2331,Data Science,NYU
2332,Data Science,NYU
2333,Other,NYU
2334,Data Science,NYU
2335,Business,NYU
2336,Other,NYU
2337,CS,NYU
2338,Other,NYU
2339,Other,NYU
2340,Other,NYU
2341,Other,NYU
2342,Mechanical Eng,NYU
2343,Mechanical Eng,NYU
2344,Mechanical Eng,NYU
2345,Mechanical Eng,NYU
2346,Mechanical Eng,NYU
2347,Mechanical Eng,NYU
2348,Mechanical Eng,NYU
2349,Mechanical Eng,NYU
2350,Other,NYU
2351,Other,NYU
2352,Other,NYU
2353,Other,NYU
2354,Other,NYU
2355,Other,NYU
2356,Other,NYU
2357,Other,NYU
2358,Other,NYU
2359,Other,NYU
2360,Other,NYU
2361,Other,NYU
2362,Finance,NYU
2363,Other,NYU
2364,Business,NYU
2365,Other,NYU
2366,Other,NYU
2367,Other,NYU
2368,Other,NYU
2369,Other,NYU
2370,Physics,NYU
2371,Policital Sci,NYU
2372,Other,NYU
2373,Other,NYU
2374,Other,NYU
2375,Other,NYU
2376,Other,NYU
2377,Finance,NYU
2378,Other,NYU
2379,Business,NYU
2380,Business,NYU
2381,Other,NYU
2382,Other,NYU
2383,Other,NYU
2384,Other,NYU
2385,Other,NYU
2386,Other,NYU
2387,Business,NYU
2388,Other,NYU
2389,Other,NYU
2390,Business,NYU
2391,Other,NYU
2392,Other,NYU
2393,Other,NYU
2394,Finance,NYU
2395,Other,NYU
2396,Other,NYU
2397,Other,NYU
2398,Other,NYU
2399,Other,NYU
2400,Other,NYU
2401,Other,NYU
2402,Other,NYU
2403,Other,NYU
2404,Other,NYU
2405,Other,NYU
2406,Other,NYU
2407,Other,NYU
2408,Civil Eng,NYU
2409,Finance,NYU
2410,Policital Sci,NYU
2411,Other,NYU
2412,CS,NYU
2413,Other,NYU
2414,Other,NYU
2415,Data Science,NYU
2416,Business,NYU
2417,Finance,NYU
2418,Business,NYU
2419,Business,NYU
2420,Business,NYU
2421,Business,NYU
2422,Mechanical Eng,NYU
2423,CS,NYU
2424,Other,NYU
2425,Other,NYU
2426,Business,NYU
2427,Finance,NYU
2428,Other,Other
2429,Business,Other
2430,CS,Other
2431,CS,Other
2432,CS,Other
2433,CS,Other
2434,CS,Other
2435,Other,Other
2436,Mechanical Eng,Other
2437,CS,Other
2438,CS,Other
2439,CS,Other
2440,Electrical Eng,Other
2441,Mechanical Eng,Other
2442,Mechanical Eng,Other
2443,Mechanical Eng,Other
2444,Other,Other
2445,Other,Other
2446,Business,Other
2447,Business,Other
2448,Biology,Other
2449,Other,Other
2450,Finance,Other
2451,Business,Other
2452,Other,Other
2453,Chemistry,Other
2454,Other,Other
2455,Other,Other
2456,Business,Other
2457,Biology,Other
2458,Finance,Other
2459,Biology,Other
2460,Electrical Eng,Other
2461,Mechanical Eng,Other
2462,Business,Other
2463,Finance,Other
2464,Other,Other
2465,Industrial Eng,Other
2466,Other,Other
2467,Other,Other
2468,Other,Other
2469,Other,Other
2470,Other,Other
2471,Other,Other
2472,Other,Other
2473,Biology,Other
2474,Other,Other
2475,Other,Other
2476,Other,Other
2477,Other,Other
2478,Other,Other
2479,Other,Other
2480,Other,Other
2481,Biology,Other
2482,CS,Other
2483,Other,Other
2484,Other,Other
2485,Aero,Other
2486,Aero,Other
2487,Aero,Other
2488,Biology,Other
2489,Data Science,Other
2490,Chemistry,Other
2491,Chemistry,Other
2492,Finance,Other
2493,Finance,Other
2494,Industrial Eng,Other
2495,Business,Other
2496,Mechanical Eng,Other
2497,Mechanical Eng,Other
2498,Mechanical Eng,Other
2499,Mechanical Eng,Other
2500,Mechanical Eng,Other
2501,Mechanical Eng,Other
2502,Mechanical Eng,Other
2503,Mechanical Eng,Other
2504,Mechanical Eng,Other
2505,Mechanical Eng,Other
2506,Other,Other
2507,Mechanical Eng,Other
2508,Physics,Other
2509,Other,Other
2510,Business,Other
2511,Business,Other
2512,Business,Other
2513,Marketing,Other
2514,Other,Other
2515,Law,Other
2516,Business,Other
2517,Marketing,Other
2518,Other,Other
2519,Other,Other
2520,Policital Sci,Other
2521,CS,Other
2522,Business,Other
2523,Business,Other
2524,Biology,Other
2525,Other,Other
2526,Other,Other
2527,Biology,Other
2528,Business,Other
2529,Electrical Eng,Other
2530,Data Science,Other
2531,Chemistry,Other
2532,Biology,Other
2533,Civil Eng,Other
2534,Other,Other
2535,Electrical Eng,Other
2536,CS,Other
2537,Other,Other
2538,Business,Other
2539,Other,Other
2540,Other,Other
2541,Mechanical Eng,Other
2542,Other,Other
2543,Other,Other
2544,Business,Other
2545,Mechanical Eng,Other
2546,Finance,Other
2547,Other,Other
2548,Biology,Other
2549,Physics,Other
2550,Mechanical Eng,Other
2551,CS,Other
2552,CS,Other
2553,AI,Other
2554,CS,Other
2555,Other,Other
2556,Business,Other
2557,CS,Other
2558,Other,Other
2559,Electrical Eng,Other
2560,CS,Smith
2561,Finance,Smith
2562,Marketing,Other
2563,Business,Other
2564,Policital Sci,Other
2565,Other,Other
2566,Other,Other
2567,Other,Other
2568,Business,Other
2569,Business,Other
2570,Business,Other
2571,Other,Other
2572,Finance,Other
2573,Business,Other
2574,Electrical Eng,Other
2575,Aero,Other
2576,Biology,Other
2577,Biology,Other
2578,Business,Other
2579,Business,Other
2580,Chemistry,Other
2581,Other,Other
2582,Other,Other
2583,Physics,Other
2584,Other,Other
2585,Finance,Other
2586,Business,Other
2587,Business,Other
2588,Business,Other
2589,Mechanical Eng,Other
2590,Other,Other
2591,Other,Other
2592,Other,Other
2593,Business,Other
2594,Business,Other
2595,Aero,Other
2596,Physics,Other
2597,Physics,Other
2598,Biology,Other
2599,Biology,Other
2600,Biology,Other
2601,Business,Other
2602,Chemistry,Other
2603,Chemistry,Other
2604,Civil Eng,Other
2605,Data Science,Other
2606,Finance,Other
2607,Other,Other
2608,Other,Other
2609,Other,Other
2610,Other,Other
2611,Mechanical Eng,Other
2612,Biology,Other
2613,Other,Other
2614,Physics,Other
2615,Finance,Other
2616,Other,Other
2617,Other,Other
2618,CS,Other
2619,Electrical Eng,Other
2620,Mechanical Eng,Other
2621,Other,Other
2622,Business,Other
2623,Marketing,Other
2624,Policital Sci,Other
2625,Other,Other
2626,CS,Other
2627,Other,Other
2628,Other,Other
2629,Marketing,Other
2630,Other,Other
2631,Other,Other
2632,Biology,Other
2633,Biology,Other
2634,Data Science,Other
2635,Business,Other
2636,CS,Other
2637,CS,Other
2638,Business,Other
2639,Finance,Other
2640,Finance,Other
2641,Marketing,Other
2642,Other,Other
2643,Other,Other
