,mostRelevantField,mostRelevantUni
276,Finance,Other
277,Mechanical Eng,Other
278,Biology,Other
279,Other,Other
280,Aero,Other
281,CS,Other
282,Electrical Eng,Other
283,Mechanical Eng,Other
284,Mechanical Eng,Other
285,Mechanical Eng,Other
286,Mechanical Eng,Other
287,Other,Other
288,Materials,Other
289,Mechanical Eng,Other
290,Mechanical Eng,Other
291,Aero,Other
292,Mechanical Eng,Other
293,Other,Other
294,Physics,Other
295,Physics,Other
296,Physics,Other
297,Biology,Other
298,Biology,Other
299,Biology,Other
300,Chemistry,Other
301,Other,Other
302,Physics,Other
303,Chemistry,Other
304,Chemistry,Other
305,Chemistry,Other
306,Other,Other
307,Other,Other
308,Other,Other
309,Electrical Eng,Other
310,Materials,Other
311,Other,Other
312,Other,Other
313,Data Science,Other
314,Materials,Other
315,Materials,Other
316,Other,Other
317,Other,Other
318,Mechanical Eng,Other
319,Aero,Other
320,Physics,Other
321,Physics,Other
322,Physics,Other
323,Other,Other
324,Other,Other
325,Biology,Other
326,Physics,Other
327,Other,Other
328,Other,Other
329,CS,Other
330,Biology,Other
331,Civil Eng,Other
332,CS,Other
333,Materials,Other
334,Mechanical Eng,Other
335,CS,Other
336,Physics,Other
337,Mechanical Eng,Other
338,Mechanical Eng,Other
339,Other,Other
340,Other,Other
341,Chemistry,Other
342,Other,Other
343,Other,Other
344,Business,Other
345,Finance,Other
346,Other,Other
347,Policital Sci,Other
348,Other,Other
349,Materials,Other
350,Electrical Eng,Other
351,Other,Other
352,Other,Other
353,CS,Other
354,Other,Other
355,Other,Other
356,Other,Other
357,Other,Other
358,Other,Other
359,Data Science,Other
360,Other,Other
361,Other,Other
362,Other,Other
363,Other,Other
364,Other,Other
365,Other,Other
366,Finance,Other
367,Other,Other
368,CS,Other
369,Biology,Other
370,Other,Other
371,Policital Sci,Other
372,Finance,Other
373,Other,Other
374,Electrical Eng,Other
375,Electrical Eng,Other
376,Other,Other
377,Other,Other
378,Other,Other
379,Other,Other
380,Other,Other
381,Other,Other
382,Other,Other
383,Other,Other
384,Other,Other
385,Other,Other
386,Finance,Other
387,Other,Other
388,Policital Sci,Other
389,Other,Other
390,Business,Other
391,Other,Other
392,Business,Other
393,Mechanical Eng,Other
394,Mechanical Eng,Other
395,Mechanical Eng,Other
396,Biology,Other
397,Policital Sci,Other
398,Policital Sci,Other
399,Other,Other
400,Other,Other
401,Data Science,Other
402,Other,Other
403,Data Science,Other
404,Other,Other
405,Other,Other
406,Other,Other
407,Other,Other
408,Other,Other
409,Data Science,Other
410,Biology,Other
411,Other,Other
412,Other,Other
413,Data Science,Other
