,User ID,mostRelevantField,mostRelevantUni,highestDegree
405,149331,CS,Northeastern,Masters
406,149335,Other,MIT,Masters
407,149340,CS,Northeastern,Masters
408,149342,Business,Northeastern,Masters
409,149347,Mechanical Eng,Other,Masters
410,149349,Other,NYU,Bachelors
411,149358,Other,Northeastern,Masters
412,149364,CS,Northeastern,Masters
413,149370,CS,MIT,Bachelors
414,149372,Business,Northeastern,Masters
415,149375,Other,Other,Masters
416,149376,Biology,Other,Masters
417,149381,CS,Northeastern,Masters
418,149387,CS,Northeastern,Masters
419,149390,Other,Other,Other
420,149400,Other,Northeastern,Masters
421,149402,Other,Other,Other
422,149403,Biology,Other,Bachelors
423,149408,CS,Northeastern,Masters
424,149410,Finance,Hult Business,Masters
425,149412,Business,Northeastern,Masters
426,149433,Business,Northeastern,Masters
427,149445,Other,MIT,PhD
428,149455,Other,MIT,PhD
429,149465,CS,MIT,Bachelors
430,149468,CS,Northeastern,Masters
431,149477,Business,Northeastern,Masters
432,149478,Other,MIT,Bachelors
433,149484,Mechanical Eng,MIT,Bachelors
434,149486,Physics,MIT,Bachelors
435,149500,Electrical Eng,MIT,Bachelors
436,149506,CS,MIT,Bachelors
437,149508,Business,Other,Other
438,149510,Biology,Other,Bachelors
439,149515,Finance,Other,Other
440,149517,CS,Other,Other
441,149521,Other,MIT,PhD
442,149522,Business,MIT,Masters
443,149523,Mechanical Eng,Other,Masters
444,149527,Other,MIT,Masters
445,149529,Other,MIT,Masters
446,149535,CS,MIT,PhD
447,149539,Other,MIT,PhD
448,149540,Mechanical Eng,Other,Other
449,149553,Data Science,Northeastern,Masters
450,149556,CS,MIT,Bachelors
451,149558,Business,MIT,Masters
452,149566,Biology,MIT,Bachelors
453,149575,Data Science,Northeastern,Masters
454,149576,Chemistry,MIT,PhD
455,149578,Data Science,Northeastern,Masters
456,149579,Business,Northeastern,Masters
457,149586,Business,Northeastern,Masters
458,149587,CS,Northeastern,Masters
459,149591,Electrical Eng,Other,Bachelors
460,149593,CS,MIT,Masters
461,149595,Other,MIT,Bachelors
462,149596,Biology,Other,Bachelors
463,149601,Finance,MIT,Bachelors
464,149604,CS,MIT,Bachelors
465,149608,Physics,MIT,PhD
466,149610,Business,Northeastern,Masters
467,149611,Business,MIT,Masters
468,149612,Business,Northeastern,Masters
469,149617,Mechanical Eng,MIT,Bachelors
470,149622,Mechanical Eng,MIT,Bachelors
471,149625,Biology,Harvard,PhD
472,149639,CS,Northeastern,Masters
473,149722,Business,Hult Business,Masters
474,149733,Other,Tufts,Masters
475,149735,Business,Hult Business,Masters
476,149736,Mechanical Eng,Northeastern,PhD
477,149756,Mechanical Eng,Other,Masters
478,149763,Other,Other,Other
479,149775,Biology,Other,Other
480,149776,Other,Other,Other
481,149777,Other,Other,Bachelors
482,149786,Other,Other,Masters
483,149787,CS,MIT,PhD
484,149792,Business,Harvard,Masters
485,149793,CS,Other,Bachelors
486,149798,Other,Other,Masters
487,149800,Business,Other,Masters
488,149802,Other,Other,MBA
489,149803,Other,Other,Other
490,149804,Finance,Other,Masters
491,149805,Other,Other,Masters
492,149808,Other,Other,Other
493,149811,Other,Other,Bachelors
494,149813,Marketing,Other,Other
495,149815,Other,Other,Bachelors
496,149818,Business,Other,Masters
497,149828,Other,Other,PhD
498,149831,Other,Other,PhD
499,149832,Other,Other,High school
500,149833,Business,Other,Masters
501,149840,Data Science,Northeastern,Masters
502,149843,Marketing,Other,Other
503,149845,Other,Other,Masters
504,149847,Mechanical Eng,Other,Bachelors
505,149849,Other,MIT,MBA
506,149858,Other,Other,Masters
507,149863,Other,MIT,Masters
508,149868,Chemistry,Other,PhD
509,149870,CS,MIT,Bachelors
510,149878,Other,Other,MBA
511,149879,Business,Other,Bachelors
512,149880,Business,Other,Other
513,149884,Finance,Other,Masters
514,149885,Chemistry,Other,Bachelors
515,149887,Business,Other,Masters
516,149888,Business,Other,Other
517,149892,Other,MIT,Bachelors
518,149894,Business,Other,Masters
519,149898,Finance,Other,Bachelors
520,149899,Other,Other,Other
521,149909,Mechanical Eng,Other,Bachelors
522,149910,Other,Other,Bachelors
523,149913,Other,MIT,MBA
524,149914,CS,MIT,Bachelors
525,149916,Business,Other,Masters
526,149917,Electrical Eng,MIT,PhD
