,mostRelevantField,mostRelevantUni,highestDegree
398,Mechanical Eng,Other,Other
399,Other,Other,Bachelors
400,Biology,Other,Postdoc
401,Physics,Other,Bachelors
402,Other,Other,Bachelors
403,Materials,MIT,PhD
404,CS,Northeastern,Masters
405,CS,Northeastern,Masters
406,CS,Northeastern,Masters
407,CS,Northeastern,Masters
408,CS,Other,Masters
409,Business,Hult Business,Masters
410,Other,Other,Other
411,Finance,Other,Other
412,Physics,Other,Bachelors
413,Other,MIT,MBA
414,Data Science,Northeastern,Masters
415,Data Science,Northeastern,Masters
416,Data Science,Northeastern,Masters
417,Biology,MIT,Other
418,CS,Dartmouth,Bachelors
419,Business,Other,Other
420,Other,Other,Postdoc
421,Physics,Other,Postdoc
422,Industrial Eng,Other,Masters
423,Other,Northeastern,Masters
424,Biology,MIT,Masters
425,CS,NYU,Masters
426,CS,Northeastern,Masters
427,Other,Northeastern,Masters
428,Other,Northeastern,Masters
429,Electrical Eng,Dartmouth,Bachelors
430,Finance,Other,PhD
431,Biology,Northeastern,Masters
432,Other,Northeastern,Masters
433,CS,NYU,Masters
434,Other,Other,Bachelors
435,Business,Hult Business,Masters
436,Biology,Other,Postdoc
437,Civil Eng,Northeastern,Bachelors
438,CS,Northeastern,Masters
439,Biology,Northeastern,Masters
440,Biology,Northeastern,Masters
441,Other,Other,Masters
442,Biology,Northeastern,Masters
443,Other,Northeastern,Masters
444,Biology,Northeastern,Masters
445,Biology,Northeastern,Masters
446,Data Science,Northeastern,Masters
447,Other,MIT,Bachelors
448,Biology,MIT,Bachelors
449,Other,Other,Bachelors
450,Data Science,Northeastern,Masters
451,CS,MIT,Bachelors
452,Data Science,Northeastern,Masters
453,Other,Northeastern,Masters
454,Mechanical Eng,Northeastern,Bachelors
455,Mechanical Eng,Northeastern,Bachelors
456,AI,Northeastern,Masters
457,Mechanical Eng,Northeastern,Masters
458,AI,MIT,Bachelors
459,CS,MIT,Masters
460,Other,MIT,Postdoc
461,Other,MIT,Bachelors
462,Other,BU,Bachelors
463,Other,Other,Bachelors
464,Business,MIT,Masters
465,Other,Tufts,Masters
466,Data Science,Northeastern,Masters
467,Mechanical Eng,MIT,Masters
468,Mechanical Eng,MIT,Masters
469,Business,Northeastern,Masters
470,Other,Northeastern,Masters
471,Business,BU,Other
472,Other,Northeastern,Masters
473,Business,BU,Other
474,Other,Northeastern,Masters
475,Other,Other,Masters
476,Physics,UMass Amherst,Bachelors
477,CS,Northeastern,Masters
478,Biology,Northeastern,Masters
479,Other,Tufts,Bachelors
480,Business,BU,Bachelors
481,Business,BU,Bachelors
482,Business,BU,Masters
483,Other,Other,Bachelors
484,Biology,MIT,PhD
