,mostRelevantField,mostRelevantUni,highestDegree
1811,Biology,MIT,Other
1812,AI,MIT,Bachelors
1813,Other,Other,Postdoc
1814,Data Science,MIT,Masters
1815,AI,MIT,PhD
1816,AI,MIT,Bachelors
1817,Biology,Northeastern,Masters
1818,Mechanical Eng,Other,PhD
1819,Biology,BU,Postdoc
1820,Other,MIT,Other
1821,Data Science,MIT,PhD
1822,Mechanical Eng,NYU,Bachelors
1823,Other,Other,Masters
1824,CS,Other,Masters
1825,Chemistry,MIT,PhD
1826,Mechanical Eng,Other,Other
1827,Other,NYU,Bachelors
1828,Other,Other,Other
1829,Other,Other,Masters
1830,CS,MIT,Bachelors
1831,CS,NYU,Masters
1832,CS,NYU,Masters
1833,AI,NYU,Bachelors
1834,CS,Other,Masters
1835,Chemistry,NYU,Bachelors
1836,Other,Northeastern,Masters
1837,Other,Northeastern,Masters
1838,CS,NYU,Bachelors
1839,Business,NYU,Bachelors
1840,Other,NYU,Bachelors
1841,Other,MIT,Bachelors
1842,CS,NYU,Masters
1843,Other,Northeastern,Masters
1844,Chemistry,MIT,Bachelors
1845,Other,Other,Masters
1846,Physics,Other,Bachelors
1847,Business,Northeastern,Bachelors
1848,CS,Northeastern,Masters
1849,Mechanical Eng,MIT,Bachelors
1850,Mechanical Eng,Northeastern,Bachelors
1851,CS,Other,Bachelors
1852,Aero,MIT,PhD
1853,Other,Other,MD
1854,Business,Northeastern,Masters
1855,Biology,Other,Postdoc
1856,Data Science,Northeastern,Masters
1857,Business,MIT,MBA
1858,Data Science,Other,Bachelors
1859,Data Science,MIT,Bachelors
1860,Other,MIT,Masters
1861,CS,Other,Bachelors
1862,Other,MIT,Masters
1863,AI,MIT,PhD
1864,Other,Other,Bachelors
1865,CS,MIT,Masters
1866,Other,Other,Masters
1867,CS,MIT,Bachelors
1868,Other,Other,PhD
1869,Mechanical Eng,Other,Bachelors
1870,Biology,Other,Masters
1871,AI,Northeastern,Masters
1872,Mechanical Eng,MIT,PhD
1873,AI,MIT,Masters
1874,AI,Other,Postdoc
1875,Mechanical Eng,MIT,Bachelors
1876,Biology,MIT,Bachelors
1877,Biology,Other,Postdoc
1878,Finance,Other,Bachelors
1879,CS,Other,Bachelors
1880,Biology,Other,Bachelors
1881,Physics,MIT,Postdoc
1882,Other,Other,Masters
1883,Other,MIT,Other
1884,Other,MIT,Masters
1885,Other,MIT,Masters
1886,Business,Other,Masters
1887,Business,MIT,Masters
1888,CS,NYU,Masters
1889,Finance,Other,Masters
1890,Finance,Other,Bachelors
1891,Finance,Other,Bachelors
1892,Other,BU,Masters
1893,Business,Northeastern,Masters
1894,CS,Other,Masters
1895,Business,MIT,MBA
1896,Finance,Other,Bachelors
1897,Other,MIT,PhD
1898,CS,NYU,Masters
1899,Other,Other,Bachelors
1900,Other,Other,Bachelors
1901,Other,Other,Bachelors
1902,CS,NYU,Masters
1903,Other,Other,Other
1904,Physics,Other,Bachelors
1905,Data Science,MIT,Masters
1906,Business,NYU,Masters
1907,Other,Other,Bachelors
1908,CS,MIT,Bachelors
1909,Finance,Other,Bachelors
1910,Other,MIT,Masters
1911,Other,MIT,Masters
1912,Other,Other,Bachelors
1913,Other,Other,Masters
1914,CS,Northeastern,Masters
1915,Other,Other,Bachelors
1916,CS,MIT,Masters
1917,Other,Other,Masters
1918,Other,MIT,PhD
1919,Other,Northeastern,Masters
1920,Other,Other,Masters
1921,Business,Other,MBA
1922,Other,Other,Masters
1923,Physics,Other,Bachelors
1924,Policital Sci,Tufts,Masters
1925,Other,Other,Bachelors
1926,Business,Other,Masters
1927,Other,Other,Masters
1928,Business,MIT,Masters
1929,Other,Other,Masters
1930,Biology,Other,Postdoc
1931,Physics,Other,Bachelors
1932,Other,Other,Masters
1933,Aero,MIT,Bachelors
1934,Other,Other,Bachelors
1935,CS,Other,Bachelors
1936,AI,MIT,PhD
1937,AI,Tufts,Other
1938,Data Science,Other,Masters
1939,Electrical Eng,Other,Postdoc
1940,Other,Other,Masters
1941,CS,NYU,Masters
1942,Other,Other,Masters
1943,Other,Other,Masters
1944,Other,Other,Masters
1945,Other,Other,Masters
1946,Other,Other,Masters
1947,Other,Other,Masters
1948,AI,Boston College,Other
1949,Law,Other,Postdoc
1950,Business,Other,MBA
1951,Other,Other,Masters
1952,Business,Other,Masters
1953,Other,Other,Masters
1954,Other,Other,Masters
1955,AI,MIT,Bachelors
1956,Physics,MIT,Postdoc
1957,Other,Other,Masters
1958,Other,Other,Masters
1959,Finance,Other,Masters
1960,Business,Other,Masters
1961,Other,Other,Masters
1962,Other,Other,Masters
1963,Other,Other,Masters
1964,Finance,Other,Masters
1965,Other,Northeastern,Bachelors
1966,Business,Boston College,Bachelors
1967,Other,Tufts,Bachelors
1968,Business,NYU,Bachelors
1969,Business,MIT,MBA
1970,Business,Other,Masters
1971,Other,Tufts,Masters
1972,Business,Other,Masters
1973,AI,MIT,Bachelors
1974,AI,MIT,Bachelors
1975,Other,Other,Masters
1976,Other,Other,PhD
1977,Business,Other,MBA
1978,Other,Other,Masters
1979,Data Science,Other,Masters
1980,Other,Other,Masters
1981,Other,MIT,Bachelors
1982,Business,Other,Masters
1983,Biology,Other,Masters
1984,Civil Eng,Other,Other
1985,Data Science,MIT,PhD
1986,Business,Other,Masters
1987,Biology,MIT,PhD
1988,Other,MIT,PhD
1989,Other,Other,Masters
1990,Mechanical Eng,MIT,PhD
1991,Biology,Other,Postdoc
1992,Biology,Other,PhD
1993,Business,MIT,Bachelors
1994,Other,Other,Postdoc
1995,Biology,Other,Postdoc
1996,Other,Other,Postdoc
1997,Business,MIT,Masters
1998,Law,Other,Masters
1999,Aero,MIT,Bachelors
2000,Biology,MIT,Postdoc
2001,CS,MIT,PhD
2002,AI,MIT,Bachelors
2003,Physics,MIT,Bachelors
2004,AI,Northeastern,Masters
2005,Other,MIT,Masters
2006,Chemistry,MIT,Bachelors
2007,AI,MIT,Bachelors
2008,Industrial Eng,Northeastern,Masters
2009,Other,Other,Bachelors
2010,AI,MIT,PhD
2011,CS,Other,Bachelors
2012,AI,MIT,Bachelors
2013,Business,MIT,Masters
2014,Data Science,MIT,Postdoc
2015,Business,MIT,Masters
2016,AI,MIT,PhD
2017,Other,Other,Masters
2018,Data Science,Northeastern,Masters
2019,Mechanical Eng,MIT,Bachelors
2020,Biology,MIT,Bachelors
2021,Physics,MIT,Bachelors
2022,Other,MIT,Masters
2023,AI,MIT,Bachelors
2024,Other,MIT,PhD
2025,Physics,MIT,Postdoc
2026,Other,MIT,Other
2027,CS,MIT,Bachelors
2028,Other,MIT,Masters
2029,Mechanical Eng,Other,Postdoc
2030,Business,MIT,Masters
2031,Business,MIT,Bachelors
2032,Other,Other,Bachelors
2033,Chemistry,MIT,Masters
2034,Physics,MIT,PhD
2035,Physics,MIT,PhD
2036,CS,MIT,Bachelors
2037,Physics,MIT,Bachelors
2038,CS,MIT,Masters
2039,AI,MIT,Masters
2040,Biology,Other,Postdoc
2041,AI,MIT,Bachelors
2042,Electrical Eng,MIT,Postdoc
2043,Materials,MIT,PhD
2044,Other,NYU,Masters
2045,Physics,MIT,Postdoc
2046,AI,MIT,PhD
2047,CS,MIT,Bachelors
2048,CS,Other,Bachelors
2049,CS,MIT,Bachelors
2050,AI,MIT,Bachelors
2051,Other,NYU,Masters
2052,CS,MIT,Bachelors
2053,Business,MIT,Bachelors
2054,AI,MIT,Bachelors
2055,CS,Other,Bachelors
2056,CS,Other,Bachelors
2057,CS,Other,Bachelors
2058,CS,MIT,Bachelors
2059,CS,MIT,Bachelors
2060,Other,MIT,Bachelors
2061,Business,Other,Masters
2062,AI,MIT,PhD
2063,Electrical Eng,MIT,Bachelors
2064,CS,MIT,Masters
2065,Mechanical Eng,NYU,Bachelors
2066,CS,NYU,Masters
2067,Other,MIT,PhD
2068,AI,MIT,Masters
2069,Policital Sci,Other,Masters
2070,Biology,MIT,Postdoc
2071,CS,MIT,Bachelors
2072,CS,MIT,Postdoc
2073,CS,MIT,Bachelors
2074,CS,MIT,Postdoc
2075,CS,MIT,Postdoc
2076,CS,MIT,Bachelors
2077,CS,Northeastern,Masters
2078,AI,MIT,Bachelors
2079,Electrical Eng,MIT,Bachelors
2080,CS,MIT,Bachelors
2081,Other,MIT,Bachelors
2082,CS,MIT,Bachelors
2083,AI,MIT,Bachelors
2084,CS,MIT,Bachelors
2085,Physics,MIT,Postdoc
2086,CS,MIT,Bachelors
2087,AI,MIT,Masters
2088,Biology,MIT,Postdoc
2089,Other,Other,Masters
2090,Business,Other,Masters
2091,CS,MIT,Masters
2092,Industrial Eng,Other,Masters
2093,AI,Other,PhD
2094,Other,MIT,Postdoc
2095,AI,BU,Postdoc
2096,AI,Other,Masters
2097,Business,MIT,Masters
2098,Business,Other,MBA
2099,Electrical Eng,MIT,Bachelors
2100,Business,MIT,Masters
2101,CS,MIT,PhD
2102,Other,MIT,PhD
2103,Data Science,BU,Masters
2104,CS,Northeastern,Masters
2105,Chemistry,MIT,PhD
2106,Civil Eng,MIT,Postdoc
2107,CS,MIT,Bachelors
2108,Finance,Other,PhD
2109,Biology,MIT,PhD
2110,CS,NYU,Masters
2111,Physics,Other,PhD
2112,AI,MIT,Masters
2113,Business,MIT,Masters
2114,Data Science,Other,Masters
2115,Other,NYU,Masters
2116,Other,MIT,Masters
2117,AI,MIT,Bachelors
2118,CS,Northeastern,Masters
2119,Data Science,Northeastern,Masters
2120,Biology,NYU,Bachelors
2121,CS,Northeastern,Masters
2122,CS,MIT,MBA
2123,Data Science,MIT,Masters
2124,AI,MIT,Bachelors
2125,AI,MIT,Bachelors
2126,Data Science,MIT,Bachelors
2127,Aero,MIT,Bachelors
2128,Other,MIT,PhD
2129,AI,Other,Bachelors
2130,Biology,Other,Masters
2131,Business,MIT,MBA
2132,Other,Other,Masters
2133,Mechanical Eng,MIT,Masters
2134,Industrial Eng,MIT,Masters
2135,Business,MIT,Masters
2136,Mechanical Eng,MIT,Bachelors
2137,Other,Other,Bachelors
2138,Business,MIT,Masters
2139,Business,MIT,MBA
2140,AI,Other,Postdoc
2141,Other,Other,Postdoc
2142,Business,MIT,Masters
2143,Other,MIT,Masters
2144,CS,MIT,Bachelors
2145,Other,MIT,Postdoc
2146,AI,MIT,Bachelors
2147,Business,MIT,Masters
2148,Biology,Northeastern,PhD
2149,Business,Hult Business,Masters
2150,CS,Other,Bachelors
2151,Other,Other,Masters
2152,Finance,Other,Bachelors
2153,CS,Other,Bachelors
2154,Other,Other,Bachelors
2155,Business,Hult Business,Masters
2156,Business,Hult Business,MBA
2157,Business,Other,MBA
2158,CS,Northeastern,Masters
2159,CS,Other,Masters
2160,CS,NYU,Masters
2161,Business,Other,Masters
2162,AI,MIT,Masters
2163,Business,NYU,Masters
2164,Other,NYU,Masters
2165,Mechanical Eng,BU,Masters
2166,CS,NYU,Masters
2167,Data Science,NYU,Masters
2168,Chemistry,MIT,Bachelors
2169,Finance,MIT,Bachelors
2170,Biology,MIT,Bachelors
2171,CS,Other,Bachelors
2172,CS,NYU,Masters
2173,Other,MIT,Masters
2174,Mechanical Eng,Other,Masters
2175,Industrial Eng,Other,Masters
2176,Mechanical Eng,MIT,Bachelors
2177,Data Science,Northeastern,Masters
2178,Business,MIT,Masters
2179,Other,Northeastern,PhD
2180,Other,Other,Postdoc
2181,Other,Other,Masters
2182,Electrical Eng,MIT,Masters
2183,AI,Northeastern,Masters
2184,Data Science,MIT,PhD
2185,Other,NYU,Bachelors
2186,CS,NYU,Masters
2187,Other,NYU,Masters
2188,Data Science,Northeastern,Masters
2189,Data Science,Other,PhD
2190,CS,Northeastern,Masters
2191,Other,NYU,Masters
2192,Data Science,Northeastern,Bachelors
2193,Business,NYU,Bachelors
2194,Other,Northeastern,Bachelors
2195,Policital Sci,NYU,Bachelors
2196,Other,MIT,PhD
2197,CS,NYU,Masters
2198,Business,MIT,Masters
2199,CS,MIT,PhD
2200,CS,NYU,Masters
2201,CS,NYU,Bachelors
2202,CS,MIT,Bachelors
2203,AI,MIT,Bachelors
2204,Biology,NYU,Bachelors
2205,Other,Other,Masters
2206,Law,Other,Masters
2207,Data Science,NYU,Bachelors
2208,CS,MIT,Bachelors
2209,Aero,MIT,Bachelors
2210,Chemistry,MIT,Bachelors
2211,Other,Other,Masters
2212,CS,MIT,Bachelors
2213,CS,MIT,Bachelors
2214,Mechanical Eng,Northeastern,Bachelors
2215,CS,NYU,Bachelors
2216,Other,MIT,Masters
2217,CS,MIT,Bachelors
2218,Physics,MIT,Bachelors
2219,Mechanical Eng,MIT,Postdoc
2220,Other,MIT,Bachelors
2221,AI,MIT,Bachelors
2222,Other,MIT,Bachelors
2223,Physics,MIT,Bachelors
2224,CS,MIT,Bachelors
2225,Other,NYU,Bachelors
2226,Mechanical Eng,MIT,Bachelors
2227,Mechanical Eng,MIT,Bachelors
2228,Mechanical Eng,MIT,Bachelors
2229,Other,MIT,Bachelors
2230,Other,NYU,Bachelors
2231,Mechanical Eng,MIT,Postdoc
2232,Other,NYU,Masters
2233,Chemistry,MIT,Other
2234,Aero,MIT,Bachelors
2235,Physics,MIT,Bachelors
2236,CS,Northeastern,Masters
2237,Chemistry,NYU,Bachelors
2238,Mechanical Eng,MIT,Masters
2239,Mechanical Eng,MIT,Masters
2240,Business,MIT,MBA
2241,Other,MIT,Postdoc
2242,CS,NYU,Masters
2243,Biology,MIT,PhD
2244,AI,MIT,PhD
2245,Chemistry,MIT,PhD
2246,Mechanical Eng,MIT,Bachelors
2247,Mechanical Eng,MIT,Bachelors
2248,CS,NYU,Masters
2249,Business,MIT,Bachelors
2250,CS,MIT,Bachelors
2251,AI,MIT,Bachelors
2252,CS,MIT,Bachelors
2253,AI,MIT,Bachelors
2254,Other,NYU,Masters
2255,Business,NYU,Masters
2256,CS,NYU,Bachelors
2257,CS,NYU,Masters
2258,Other,MIT,MBA
2259,CS,NYU,Masters
2260,CS,MIT,Bachelors
2261,Mechanical Eng,MIT,Bachelors
2262,CS,Other,Masters
2263,CS,MIT,Bachelors
2264,Mechanical Eng,MIT,Masters
2265,Other,MIT,Bachelors
2266,Other,MIT,Masters
2267,Data Science,MIT,Bachelors
2268,CS,MIT,Bachelors
2269,Business,MIT,Postdoc
2270,Mechanical Eng,MIT,Masters
2271,Other,NYU,Masters
2272,CS,NYU,Masters
2273,Business,MIT,MBA
2274,CS,Northeastern,Masters
2275,Chemistry,MIT,Bachelors
2276,Business,NYU,Bachelors
2277,CS,NYU,Masters
2278,Civil Eng,NYU,Bachelors
2279,Other,MIT,Bachelors
2280,CS,MIT,Bachelors
2281,CS,MIT,Bachelors
2282,Aero,MIT,Bachelors
2283,CS,MIT,Bachelors
2284,Chemistry,MIT,PhD
2285,Other,NYU,Bachelors
2286,Business,MIT,Masters
2287,Biology,MIT,PhD
2288,Chemistry,NYU,Bachelors
2289,Business,MIT,MBA
2290,Business,MIT,Masters
2291,Chemistry,NYU,Bachelors
2292,CS,Other,Bachelors
2293,Other,MIT,Bachelors
2294,AI,MIT,Bachelors
2295,Electrical Eng,MIT,Bachelors
2296,Business,NYU,Masters
2297,Business,MIT,Masters
2298,Other,Other,Masters
2299,Other,MIT,Masters
2300,Other,MIT,Masters
2301,AI,MIT,MBA
2302,Mechanical Eng,NYU,Masters
2303,Business,NYU,Masters
2304,CS,NYU,Masters
2305,AI,MIT,Bachelors
2306,CS,NYU,Masters
2307,Industrial Eng,NYU,Masters
2308,Other,NYU,PhD
2309,Business,MIT,Bachelors
2310,Civil Eng,MIT,PhD
2311,Other,NYU,Bachelors
2312,CS,NYU,Masters
2313,CS,MIT,Masters
2314,Biology,MIT,Bachelors
2315,Finance,Other,Bachelors
2316,Finance,NYU,Bachelors
2317,CS,MIT,Bachelors
2318,CS,NYU,Masters
2319,Business,NYU,Masters
2320,CS,MIT,Bachelors
2321,CS,MIT,Bachelors
2322,CS,NYU,Masters
2323,Business,NYU,Bachelors
2324,CS,MIT,Bachelors
2325,CS,NYU,Masters
2326,CS,MIT,Bachelors
2327,CS,NYU,Masters
2328,CS,NYU,Masters
2329,Other,NYU,Masters
2330,CS,MIT,Bachelors
2331,Other,NYU,Masters
2332,Other,NYU,PhD
2333,Data Science,MIT,Bachelors
2334,CS,NYU,Masters
2335,Electrical Eng,NYU,Masters
2336,Electrical Eng,NYU,Masters
2337,CS,NYU,Bachelors
2338,Other,NYU,Masters
2339,CS,NYU,Masters
2340,CS,NYU,Masters
2341,CS,NYU,Bachelors
2342,CS,MIT,Masters
2343,Other,NYU,PhD
2344,Mechanical Eng,MIT,Bachelors
2345,CS,MIT,Masters
2346,Law,NYU,Bachelors
2347,Other,MIT,Bachelors
2348,Other,MIT,Bachelors
2349,Policital Sci,NYU,Bachelors
2350,Mechanical Eng,MIT,Bachelors
2351,Mechanical Eng,NYU,Bachelors
2352,Other,NYU,Bachelors
2353,CS,MIT,Bachelors
2354,Mechanical Eng,NYU,Bachelors
2355,AI,NYU,Bachelors
2356,Other,NYU,Bachelors
2357,Aero,MIT,Bachelors
2358,Finance,Other,Masters
2359,Other,Other,Other
2360,CS,MIT,Bachelors
2361,Other,MIT,Bachelors
2362,Mechanical Eng,MIT,Bachelors
2363,CS,Other,Bachelors
2364,Other,Other,Bachelors
2365,Business,MIT,MBA
2366,CS,MIT,Bachelors
2367,CS,MIT,Bachelors
2368,Other,MIT,PhD
2369,CS,NYU,Bachelors
2370,Mechanical Eng,NYU,Bachelors
2371,Data Science,Northeastern,Masters
2372,AI,MIT,Masters
2373,CS,MIT,Masters
2374,Mechanical Eng,NYU,Bachelors
2375,Industrial Eng,Northeastern,Masters
2376,Data Science,MIT,Bachelors
2377,Other,NYU,Bachelors
2378,Data Science,BU,Masters
2379,Other,NYU,Bachelors
2380,Finance,NYU,Bachelors
2381,Business,MIT,MBA
2382,Data Science,Other,Masters
2383,Law,Other,Masters
2384,Biology,Other,Bachelors
2385,Business,MIT,Masters
2386,Data Science,Other,PhD
2387,Business,MIT,Bachelors
2388,Other,Harvard,Other
2389,Finance,Other,Bachelors
2390,Other,Other,Bachelors
2391,Other,Other,Masters
2392,Other,MIT,Bachelors
2393,Finance,Other,Bachelors
2394,Mechanical Eng,BU,Bachelors
2395,Policital Sci,Other,Masters
2396,CS,Other,Bachelors
2397,AI,MIT,Masters
2398,Business,MIT,MBA
2399,CS,MIT,Bachelors
2400,Other,MIT,PhD
2401,AI,MIT,PhD
2402,Business,MIT,MBA
2403,CS,Other,Bachelors
2404,Other,MIT,Masters
2405,CS,MIT,Other
2406,Other,MIT,Postdoc
2407,Other,MIT,Masters
2408,Other,Tufts,PhD
2409,CS,Northeastern,Masters
2410,CS,Northeastern,Masters
2411,Business,MIT,Masters
2412,Business,MIT,MBA
2413,Other,MIT,Bachelors
2414,CS,MIT,Bachelors
2415,CS,MIT,Bachelors
2416,Other,MIT,Bachelors
2417,AI,MIT,Postdoc
2418,Other,Northeastern,Masters
2419,Business,Other,MBA
2420,Mechanical Eng,MIT,Bachelors
2421,Other,MIT,Masters
2422,CS,Northeastern,Masters
2423,Business,MIT,MBA
2424,Finance,Other,Masters
2425,CS,MIT,Bachelors
2426,Other,MIT,Masters
2427,Data Science,MIT,Masters
2428,CS,Northeastern,Bachelors
2429,Other,MIT,Masters
2430,Electrical Eng,MIT,Bachelors
2431,CS,MIT,Bachelors
2432,Mechanical Eng,MIT,Bachelors
2433,Other,MIT,Masters
2434,Other,MIT,Masters
2435,CS,Other,Bachelors
2436,Biology,Northeastern,Masters
2437,AI,MIT,Bachelors
2438,Physics,Other,Bachelors
2439,Business,MIT,Bachelors
2440,Electrical Eng,MIT,Bachelors
2441,Other,Other,Bachelors
2442,Industrial Eng,MIT,PhD
2443,Business,MIT,Masters
2444,Other,Other,Bachelors
2445,CS,Other,Masters
2446,CS,Other,Masters
2447,Industrial Eng,Northeastern,Masters
2448,Other,Other,Masters
2449,Other,BU,Masters
2450,AI,MIT,PhD
2451,Biology,Other,Masters
2452,Electrical Eng,MIT,Bachelors
2453,CS,Other,Bachelors
2454,Data Science,MIT,Other
2455,Business,Hult Business,Masters
2456,CS,MIT,Bachelors
2457,Biology,Other,Postdoc
2458,Other,Other,Other
2459,Other,Other,Bachelors
2460,CS,MIT,Other
2461,Other,Other,Postdoc
2462,Biology,Other,Other
2463,Other,Other,Other
2464,Business,Other,MBA
2465,Other,Other,Bachelors
2466,Finance,Other,PhD
2467,Business,Northeastern,Masters
2468,Chemistry,MIT,Postdoc
2469,CS,Northeastern,Masters
2470,CS,Northeastern,Masters
2471,Other,Tufts,Masters
2472,CS,MIT,Masters
2473,Physics,Other,Postdoc
2474,Materials,MIT,PhD
2475,Mechanical Eng,MIT,Bachelors
2476,Other,Other,Postdoc
2477,Business,MIT,MBA
2478,Other,MIT,PhD
2479,CS,Northeastern,Masters
2480,Other,MIT,Masters
2481,Industrial Eng,MIT,Masters
2482,Other,Northeastern,Masters
2483,Other,MIT,Masters
2484,Business,Northeastern,Masters
2485,Mechanical Eng,MIT,Masters
2486,Industrial Eng,MIT,Postdoc
2487,Business,MIT,MBA
2488,Other,Other,Bachelors
2489,Materials,MIT,Bachelors
2490,Other,Northeastern,Masters
2491,Biology,Northeastern,Masters
2492,Other,Other,Bachelors
2493,Other,Other,Bachelors
2494,AI,Other,Masters
2495,Other,Northeastern,Masters
2496,Other,Other,Masters
2497,CS,Northeastern,Masters
2498,CS,MIT,Bachelors
2499,CS,Northeastern,Masters
2500,Other,Northeastern,Masters
2501,AI,Northeastern,Masters
2502,AI,Northeastern,Masters
2503,CS,Northeastern,Masters
2504,CS,Northeastern,Masters
2505,Other,Northeastern,Masters
2506,AI,Northeastern,Masters
2507,CS,BU,Bachelors
2508,Other,Northeastern,Masters
2509,Other,Northeastern,Masters
2510,Data Science,Northeastern,Masters
2511,Data Science,Northeastern,Masters
2512,Mechanical Eng,Northeastern,Masters
2513,Other,Northeastern,Masters
2514,CS,Northeastern,Masters
2515,CS,Northeastern,Masters
2516,Industrial Eng,Northeastern,Masters
2517,Biology,Northeastern,Masters
2518,CS,Northeastern,Masters
2519,CS,Northeastern,Masters
2520,Other,Northeastern,Masters
2521,Other,Northeastern,Masters
2522,Other,Northeastern,Masters
2523,Biology,Northeastern,Masters
2524,Data Science,Northeastern,Masters
2525,Other,Northeastern,Masters
2526,Business,Other,MBA
2527,Mechanical Eng,MIT,Masters
2528,CS,Northeastern,Masters
2529,Data Science,Northeastern,Masters
2530,Other,Northeastern,Masters
2531,CS,Other,Masters
2532,Data Science,Northeastern,Masters
2533,Business,Northeastern,Masters
2534,CS,Northeastern,Masters
2535,Aero,MIT,Other
2536,Other,MIT,Masters
2537,Other,Other,Masters
2538,Business,Tufts,Masters
2539,Other,Tufts,Bachelors
2540,Civil Eng,MIT,Masters
2541,Other,Other,Bachelors
2542,Biology,Other,Postdoc
2543,Materials,MIT,PhD
2544,Other,MIT,Masters
2545,AI,MIT,Bachelors
2546,CS,MIT,Bachelors
2547,Biology,MIT,PhD
2548,Finance,Other,Bachelors
2549,Other,MIT,Postdoc
2550,Mechanical Eng,MIT,Masters
2551,Business,Other,Masters
2552,Biology,Other,Postdoc
2553,AI,MIT,Bachelors
2554,Other,Other,Masters
2555,Business,MIT,Masters
2556,CS,Other,Bachelors
2557,Chemistry,Other,Bachelors
2558,AI,Other,Bachelors
2559,Other,Other,Bachelors
2560,Business,Other,Bachelors
2561,Data Science,BU,Masters
2562,Data Science,Other,Masters
2563,Other,Other,Masters
2564,Other,Other,Masters
2565,Other,Other,Postdoc
2566,CS,BU,Masters
2567,Other,MIT,Masters
2568,Finance,Tufts,Bachelors
2569,Mechanical Eng,MIT,Masters
2570,Mechanical Eng,MIT,PhD
2571,CS,MIT,Masters
2572,Biology,Tufts,Bachelors
2573,Business,MIT,MBA
2574,Business,Other,Masters
2575,Biology,MIT,PhD
2576,AI,MIT,Bachelors
2577,CS,MIT,Bachelors
2578,AI,MIT,Postdoc
2579,CS,MIT,Masters
2580,Other,MIT,PhD
2581,Biology,MIT,Bachelors
2582,Data Science,Other,Masters
2583,Business,Other,Other
2584,CS,Other,Bachelors
2585,Biology,MIT,PhD
2586,Data Science,Other,Masters
2587,Materials,MIT,Bachelors
2588,CS,MIT,Bachelors
2589,AI,MIT,Bachelors
2590,CS,MIT,Bachelors
2591,Biology,MIT,Masters
2592,Business,MIT,Other
2593,Other,Tufts,Bachelors
2594,Other,Other,MD
2595,Data Science,Other,Other
2596,Other,Other,Bachelors
2597,Biology,MIT,Masters
2598,Business,Tufts,MBA
2599,Business,Tufts,MBA
2600,Materials,Other,Postdoc
2601,Other,MIT,PhD
2602,Other,Other,Masters
2603,Other,Other,Masters
2604,Other,MIT,Masters
2605,Other,Other,Masters
2606,Other,MIT,Masters
2607,Other,MIT,Masters
2608,Business,Other,MBA
2609,Electrical Eng,Tufts,Bachelors
2610,Business,Other,MBA
2611,Data Science,Other,MBA
2612,Data Science,Other,Masters
2613,Business,Other,MBA
2614,CS,Other,Bachelors
2615,Mechanical Eng,MIT,Masters
2616,CS,MIT,Bachelors
2617,Chemistry,Other,Bachelors
2618,Biology,MIT,Masters
2619,Mechanical Eng,MIT,Bachelors
2620,Biology,MIT,PhD
2621,Physics,MIT,Postdoc
2622,CS,Other,Bachelors
2623,CS,MIT,Bachelors
2624,Aero,MIT,Postdoc
2625,Mechanical Eng,MIT,Masters
2626,Business,MIT,Masters
2627,Mechanical Eng,MIT,Postdoc
2628,Mechanical Eng,MIT,Masters
2629,Biology,MIT,Postdoc
2630,Industrial Eng,MIT,Postdoc
2631,Physics,Other,Postdoc
2632,Mechanical Eng,MIT,Bachelors
2633,AI,MIT,Postdoc
2634,Other,MIT,PhD
2635,Data Science,MIT,Postdoc
2636,Materials,MIT,Bachelors
2637,Physics,MIT,Postdoc
2638,Biology,MIT,Postdoc
2639,Other,Tufts,Masters
2640,Mechanical Eng,MIT,Postdoc
2641,Physics,MIT,Postdoc
2642,Biology,MIT,Postdoc
2643,Materials,MIT,Postdoc
2644,Biology,MIT,Postdoc
2645,Biology,MIT,Postdoc
2646,Aero,MIT,Postdoc
2647,Other,MIT,Postdoc
2648,Chemistry,MIT,Postdoc
2649,Chemistry,MIT,Postdoc
2650,Physics,MIT,Postdoc
2651,Chemistry,MIT,Postdoc
2652,Materials,MIT,Postdoc
2653,AI,MIT,Postdoc
2654,Physics,MIT,Postdoc
2655,Other,MIT,Postdoc
2656,Electrical Eng,MIT,Postdoc
2657,Other,Tufts,Bachelors
2658,Chemistry,MIT,Postdoc
2659,Business,Tufts,Masters
2660,Aero,MIT,Masters
2661,Data Science,MIT,Masters
2662,Mechanical Eng,Other,PhD
2663,Aero,MIT,Bachelors
2664,Business,Northeastern,Bachelors
2665,Mechanical Eng,MIT,PhD
2666,Biology,Tufts,Bachelors
2667,Business,Tufts,Masters
2668,Materials,MIT,Postdoc
2669,Business,Tufts,Masters
2670,Business,MIT,Masters
2671,Business,MIT,Masters
2672,Electrical Eng,MIT,Masters
2673,Other,Tufts,Masters
2674,Other,MIT,Masters
2675,Other,Tufts,Masters
2676,Other,Tufts,Masters
2677,Business,MIT,Masters
2678,Business,Tufts,Masters
2679,Other,Tufts,Masters
2680,Business,MIT,Masters
2681,Other,Other,Bachelors
2682,Aero,MIT,Masters
2683,Physics,MIT,PhD
2684,Other,MIT,Masters
2685,AI,MIT,Bachelors
2686,Business,MIT,MBA
2687,Biology,BU,Bachelors
2688,CS,MIT,PhD
2689,Business,MIT,MBA
2690,Civil Eng,MIT,Masters
2691,CS,Other,Masters
2692,Other,Tufts,Masters
2693,Business,Tufts,Masters
2694,Aero,MIT,Masters
2695,Civil Eng,MIT,Masters
2696,Biology,Tufts,Masters
2697,Other,MIT,Bachelors
2698,Other,BU,Masters
2699,Other,MIT,PhD
